                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.69338,                0.58334,                 1.1328,                0.82879,                 0.8318,                0.86046,                0.67842,                0.98725,                0.76368,                 1.2528,             0.00057074,             0.00057074,             0.00057074
                     93,                0.69552,                0.58877,                  1.136,                0.82171,                0.81963,                0.86466,                0.67242,                0.99221,                0.75453,                 1.2664,             0.00056131,             0.00056131,             0.00056131
                     94,                0.68122,                0.57576,                 1.1233,                0.79812,                0.87548,                0.85958,                0.67234,                0.99445,                0.74749,                 1.2686,             0.00055188,             0.00055188,             0.00055188
                     95,                0.69957,                0.57967,                  1.136,                0.83577,                0.84989,                0.87104,                0.67858,                0.97894,                0.74368,                  1.254,             0.00054245,             0.00054245,             0.00054245
                     96,                0.68816,                0.58402,                 1.1216,                0.80873,                0.85688,                0.85465,                0.66331,                0.98772,                 0.7557,                 1.2625,             0.00053302,             0.00053302,             0.00053302
                     97,                0.68028,                0.57227,                 1.1206,                0.81399,                0.85139,                0.86095,                0.67836,                 0.9753,                0.77225,                 1.2615,             0.00052359,             0.00052359,             0.00052359
                     98,                0.69054,                0.57293,                 1.1267,                0.82056,                0.84534,                0.85704,                0.67031,                 0.9997,                0.79463,                 1.2669,             0.00051415,             0.00051415,             0.00051415
                     99,                0.68361,                0.57486,                 1.1219,                0.80337,                 0.8506,                0.84855,                0.66736,                0.96657,                0.77837,                 1.2583,             0.00050472,             0.00050472,             0.00050472
                    100,                0.68002,                0.56622,                 1.1233,                0.82916,                0.85509,                0.87287,                0.68273,                0.98779,                 0.7521,                 1.2613,             0.00049529,             0.00049529,             0.00049529
                    101,                0.66689,                0.55763,                 1.1145,                0.84496,                0.84749,                 0.8808,                0.68713,                0.97842,                0.75922,                 1.2584,             0.00048586,             0.00048586,             0.00048586
                    102,                0.67443,                0.56132,                 1.1212,                0.79946,                0.86698,                0.85773,                0.66847,                0.98317,                 0.7719,                 1.2454,             0.00047643,             0.00047643,             0.00047643
                    103,                0.66918,                0.55451,                 1.1195,                0.81535,                 0.8479,                0.86476,                0.68452,                0.97282,                0.76792,                 1.2452,               0.000467,               0.000467,               0.000467
